"Timestamp","What is your age?","How often do you exercise?","What type of exercise do you usually do?","Do you currently track calories burned during workouts?","If yes, which apps or devices do you use?","If not, why? (please specify any other inconvenience)","If you track calories burned, how convenient do you think your current method is? ","How important is it for you to know how many calories you burned after a workout?","Do you usually eat before/after a workout?","In your opinion, is it important to consider what you eat before and after exercising?","How do you decide what to eat before/after working out?","Have you ever felt confused about what to eat before/after a workout?","If yes, what was the reason for your confusion?","Would you like to have snack suggestion for..."
"2025/05/05 3:24:40 pm GMT","18-30","Daily","Running / Jogging;Walking;Lifting weights;Team sports","No, I don't track calories","","I don't feel the need to","I'm indifferent / not sure","Not important at all","Yes","Yes","Randomly","No","","None of them"
"2025/05/08 5:59:06 pm GMT","30-45","Rarely","Yoga / Pilates","No, I don't track calories","","I don't feel the need to","I'm indifferent / not sure","Not important at all","Yes","Yes, but I don't always do it","Randomly","No","","Pre workout"
"2025/05/05 1:45:14 pm GMT","18-30","Often (2-3 times a week)","Running / Jogging;Walking;Home workouts;Team sports","No, I don't track calories","","Apps are too complicated;I don't have access to a fitness device;I don't think it's accurate;I don't feel the need to","","Not important at all","Sometimes","Yes, but I don't always do it","Randomly","Yes","I was too lazy to search/choose what to eat","Both"
"2025/05/06 8:51:19 am GMT","18-30","Rarely","i dont work out","No, I don't track calories","","I am not sure how tracking calories would benefit me;i dont workout","","Not important at all","Rarely","Yes, but I don't always do it","i dont work out","I usually don't eat","","None of them"
"2025/05/05 1:57:17 pm GMT","18-30","Often (2-3 times a week)","Walking;Yoga / Pilates","No, I don't track calories","","I don't feel the need to","","Not very important","Yes","Yes, but I don't always do it","Whatever I feel like/my body feels like eating ","Maybe","I never paid much attention","Both"
"2025/05/08 3:26:59 pm GMT","18-30","Often (2-3 times a week)","Running / Jogging;Home workouts","Yes, with an app","Fitness app on iPhone ","","Somewhat convenient","Not very important","Yes","Yes","Both web and expert advice ","Maybe","I was too lazy to search/choose what to eat","Both"
"2025/05/05 2:30:00 pm GMT","18-30","Daily","Walking","No, I don't track calories","","I don't feel the need to","","Not important at all","Sometimes","Yes, but I don't always do it","Randomly","No","","None of them"
"2025/05/09 4:21:22 pm GMT","18-30","Often (2-3 times a week)","Lifting weights","No, I don't track calories","","I don't feel the need to","","Not important at all","Yes","Yes","Expert advice (coach, dietitian)","No","","Both"
"2025/05/06 9:01:51 am GMT","18-30","4-5 times a week ","Lifting weights;Yoga / Pilates;Team sports","No, I don't track calories","","I don't feel the need to","","Somehow important","Yes","Yes, but I don't always do it","Expert advice (coach, dietitian)","Yes","I was too lazy to search/choose what to eat;I didn't know what I should eat based on my calories;I didn't know what I should eat to achieve my fitness goals","Both"
"2025/05/06 6:23:35 pm GMT","18-30","Sometimes (several times a month)","Walking;Home workouts;Team sports","No, I don't track calories","","I don't know how to","","I'm indifferent / not sure","Yes","Yes, but I don't always do it","Randomly","Yes","I was too lazy to search/choose what to eat;I didn't know what I should eat to achieve my fitness goals","Both"
"2025/05/07 7:06:49 am GMT","18-30","Rarely","Yoga / Pilates","No, I don't track calories","","I don't feel the need to","","Not very important","No","No","Randomly","No","","After workout"
"2025/05/05 2:18:09 pm GMT","18-30","Often (2-3 times a week)","Lifting weights","No, I don't track calories","","I don't feel the need to","","Not very important","Yes","No","Randomly","No","","After workout"
